t,minmax_pmse,tmma_pmse,rel_reduction_pct
246.0,0.00043855154325806486,0.0003198772174468094,27.06051948411951
255.0,0.0003876009169785133,0.00029333096508804833,24.321395476907714
265.0,0.0003517016291724458,0.00027779559814130553,21.013843809891135
274.0,0.0003296161486719263,0.00026312411651470077,20.172565095834067
284.0,0.0003357685108912319,0.00023825678369125645,29.041355587857126
293.0,0.00033433404979823193,0.0002606357992577542,22.043297888729565
303.0,0.0003064181371188008,0.00023517179027618258,23.25134781920413
313.0,0.00029229238627455383,0.00021451788831109117,26.608458384683388
323.0,0.0002716546473098603,0.00022428299744937786,17.438188644882054
334.0,0.0002502092145437136,0.00021188310634420068,15.31762460043895
344.0,0.00025237102067938386,0.00021041243766236532,16.625753188327984
355.0,0.0002355264407432801,0.0001967265312866055,16.473695833991677
366.0,0.00021885415097793815,0.00018547442564073645,15.25204122839168
377.0,0.0002536540433807507,0.00018855365027872222,25.66503266983553
388.0,0.000216193332492973,0.0001871003310610312,13.456937407117966
399.0,0.0002110805072634094,0.0001787858340111071,15.299694733062905
411.0,0.00020502115462282483,0.00017280029615859065,15.715870161550175
423.0,0.00019112473151125447,0.00016602547304339505,13.132396979394285
434.0,0.00018284964330771942,0.0001671958223044463,8.561034476249512
446.0,0.00019115923695906548,0.00016793444211168752,12.149449441646013
459.0,0.00018227139148709878,0.00014916314265397615,18.164259658634382
471.0,0.00016361252414118704,0.00016348660855958856,0.07695962290137738
483.0,0.00017651162943266063,0.00016337556439412258,7.442039417323191
496.0,0.00019381384133851137,0.00016511151320424306,14.809225149269606
509.0,0.00017459902279826761,0.00016096067962493787,7.8112368298232315
522.0,0.0001626739378793124,0.0001647949576979773,-1.3038473441507688
535.0,0.00018451782010627416,0.00015290438695900226,17.132997305660748
548.0,0.00016235287016525338,0.0001629196473991161,-0.3491020721012264
562.0,0.0001660633631007298,0.00015993605416889705,3.689741564559358
575.0,0.0001550501315900236,0.00015489225376959784,0.10182372553104921
589.0,0.00018425662493544597,0.0001489067336315226,19.185139919016827
603.0,0.00015097748107200133,0.0001541335431761911,-2.090419102094202
617.0,0.00018811549795861869,0.0001583326175823024,15.832231102441053
632.0,0.0001688429224521078,0.00014642882364458387,13.275118957906976
646.0,0.00016828633090394942,0.00015518496191260097,7.785165272173021
661.0,0.0001650590396913428,0.00015638441479763024,5.255467928284291
675.0,0.00015824947680696824,0.00015113639534054173,4.494853069942851
690.0,0.0001552584716815102,0.00014250878160323093,8.211912651332398
705.0,0.00017808767026174295,0.00015451157721255485,13.238475754406423
721.0,0.0001698687097709657,0.00014657725934357656,13.711442477424507
736.0,0.00020812177000620644,0.0001522076621532955,26.86605435425785
752.0,0.00014647318521993755,0.00014859501762568223,-1.4486149137527315
768.0,0.0001873986495405878,0.00015375159496887,17.954800984000865
783.0,0.00015433640126078912,0.00016717982268236008,-8.321705907777947
800.0,0.00020985170749436,0.0001691492717377287,19.395808708263772
