t,minmax_pmse,minmax_se,tmma_pmse,tmma_se
137.0,0.0008163471393072407,2.2891969620141243e-05,0.0005539438454605875,2.023791390116975e-05
143.0,0.0007736145718636205,2.528229795932063e-05,0.0005504026920190936,1.2371710294814575e-05
150.0,0.0006984716975312759,1.5967015837615454e-05,0.0005157279027414175,1.7647029526527364e-05
158.0,0.0007514723742791281,1.624508542868135e-05,0.0004829483849924442,1.9535580353876273e-05
165.0,0.0008427113190958688,0.00014711509979285585,0.0004899571738733224,8.633403117588891e-05
172.0,0.0007220890319023931,2.6247804339136773e-05,0.00045912916137633836,7.615403149945734e-06
180.0,0.0006107601564722654,1.4887298756084289e-05,0.0004286876982177835,5.7888754578295705e-06
188.0,0.0005429776341450449,2.0334476086704767e-05,0.0003923439745373009,1.4328295022206408e-05
195.0,0.0005094962530502109,1.6666678971715225e-05,0.00037583485769254526,1.0875212860847441e-05
204.0,0.0004728409530520026,1.7504971278103685e-05,0.0003738134506321854,2.1802588310168518e-05
212.0,0.00048391675204832046,2.2515873098094356e-05,0.00033402002577650683,2.25099697844255e-05
220.0,0.0005085745834478999,4.1750390247497733e-05,0.00029701301260239173,2.988698703226968e-05
229.0,0.0004034307843998091,1.1190986092254504e-05,0.0003049290380245978,6.2467875826056075e-06
238.0,0.0004282965595548105,1.7958464834374456e-05,0.00031768638378792415,1.4382544743193235e-05
246.0,0.00043855154325806486,3.0605644871628464e-05,0.0003198772174468094,1.4889302914130029e-05
255.0,0.0003876009169785133,1.645157115816549e-05,0.00029333096508804833,1.4400356724237368e-05
265.0,0.0003517016291724458,1.1876440969192669e-05,0.00027779559814130553,1.7571914732537117e-05
274.0,0.0003296161486719263,7.2353759654930276e-06,0.00026312411651470077,1.2566622774954144e-06
284.0,0.0003357685108912319,1.7159193348507157e-05,0.00023825678369125645,1.4589096910341116e-05
293.0,0.00033433404979823193,2.8903197204894742e-05,0.0002606357992577542,3.1957527594453754e-05
303.0,0.0003064181371188008,9.46125128805652e-06,0.00023517179027618258,9.833604286439332e-06
313.0,0.00029229238627455383,8.430729574801011e-06,0.00021451788831109117,5.857070278511456e-06
323.0,0.0002716546473098603,2.2898275394154245e-06,0.00022428299744937786,2.735508915671179e-06
334.0,0.0002502092145437136,3.904563281371885e-06,0.00021188310634420068,2.6013634966063167e-06
344.0,0.00025237102067938386,6.829166906983819e-06,0.00021041243766236532,1.146770584541048e-05
355.0,0.0002355264407432801,1.250310314045579e-05,0.0001967265312866055,8.990815443380323e-06
366.0,0.00021885415097793815,6.8300858511394696e-06,0.00018547442564073645,6.042265381111259e-06
377.0,0.0002536540433807507,1.4550005130279473e-05,0.00018855365027872222,1.3261496780382363e-05
388.0,0.000216193332492973,1.1465596999645428e-05,0.0001871003310610312,1.5754054210785172e-05
399.0,0.0002110805072634094,7.818374167414299e-06,0.0001787858340111071,5.989552776240926e-06
411.0,0.00020502115462282483,1.1562831805292014e-05,0.00017280029615859065,7.497208005928783e-06
423.0,0.00019112473151125447,2.6511376948260185e-06,0.00016602547304339505,1.6535852485782635e-06
434.0,0.00018284964330771942,6.0183762180328765e-06,0.0001671958223044463,3.6408491781380725e-06
446.0,0.00019115923695906548,1.7614340799571327e-05,0.00016793444211168752,6.415818740595889e-06
459.0,0.00018227139148709878,1.0732591970956918e-05,0.00014916314265397615,4.7814563203105534e-06
471.0,0.00016361252414118704,2.6368346264573723e-06,0.00016348660855958856,2.38064582323707e-06
483.0,0.00017651162943266063,7.83557472563959e-06,0.00016337556439412258,5.50698468295542e-06
496.0,0.00019381384133851137,3.191437020971171e-05,0.00016511151320424306,2.5075360203237354e-05
509.0,0.00017459902279826761,9.67686960804214e-06,0.00016096067962493787,8.931312877898653e-06
522.0,0.0001626739378793124,8.157551919590976e-06,0.0001647949576979773,5.183778486734975e-06
535.0,0.00018451782010627416,1.9912309937966688e-05,0.00015290438695900226,1.2516942297679472e-05
548.0,0.00016235287016525338,1.1501057557151252e-05,0.0001629196473991161,1.0010200046913383e-05
562.0,0.0001660633631007298,1.0740129222567744e-05,0.00015993605416889705,6.183534888509662e-06
575.0,0.0001550501315900236,6.590372245090905e-06,0.00015489225376959784,3.1941366242638642e-06
589.0,0.00018425662493544597,8.8331272960339e-06,0.0001489067336315226,6.246236540650044e-06
603.0,0.00015097748107200133,4.218224686015731e-06,0.0001541335431761911,2.7477817549340472e-06
617.0,0.00018811549795861869,3.448359527978675e-05,0.0001583326175823024,3.0293808743141822e-05
632.0,0.0001688429224521078,1.9347303641108333e-05,0.00014642882364458387,7.992065347339758e-06
646.0,0.00016828633090394942,2.1319829220044863e-05,0.00015518496191260097,1.1943689174739235e-05
661.0,0.0001650590396913428,1.212284508147296e-05,0.00015638441479763024,5.132571396719097e-06
675.0,0.00015824947680696824,1.1250946816110568e-05,0.00015113639534054173,9.410869272890302e-06
690.0,0.0001552584716815102,7.011468153746371e-06,0.00014250878160323093,3.1116233470940936e-06
705.0,0.00017808767026174295,5.183636289545663e-06,0.00015451157721255485,1.8891931315455839e-06
721.0,0.0001698687097709657,8.958508017498175e-06,0.00014657725934357656,9.906923216305785e-06
736.0,0.00020812177000620644,2.404123127053541e-05,0.0001522076621532955,1.6586679991504558e-05
752.0,0.00014647318521993755,3.994218087836305e-06,0.00014859501762568223,1.316072592649118e-06
768.0,0.0001873986495405878,1.8321818577098388e-05,0.00015375159496887,1.1776169261524071e-05
783.0,0.00015433640126078912,9.606883768263657e-06,0.00016717982268236008,2.102419705113535e-06
800.0,0.00020985170749436,1.134833072725151e-05,0.0001691492717377287,1.093184619502561e-05
